"customer","customer_country","fraud_flag","timestamp","counterparty","counterparty_country","type","ccy","amount"
"C12976926337644","UK","N","2021-03-20 05:59:25",77697395249488,"CN","OTHER","JPY","48625.25"
"C12976926337644","UK","N","2021-05-02 03:00:38",77697395249488,"CN","PAYMENT","GBP","20637.21"
"C12976926337644","UK","N","2021-05-23 22:15:15",77697395249488,,"PAYMENT","USD","56691.27"
"C12976926337644","UK","N","2021-07-07 21:36:50",77697395249488,,"PAYMENT","CNY","343864.71"
"C12976926337644","UK","N","2021-09-02 00:14:03",77697395249488,,"PAYMENT","USD","57247.35"
"C12976926337644","UK","N","2021-12-01 20:13:41",77697395249488,,"PAYMENT","CNY","342427.79"
"C12976926337644","UK","N","2021-03-12 01:13:10",77697395249488,"CN","TT","GBP","36944.25"
"C12976926337644","UK","N","2021-06-09 18:06:56",77697395249488,"CN","TT","CNY","48653.7"
"C12976926337644","UK","N","2021-08-14 14:03:57",77697395249488,"CN","TT","CNY","48765.81"
"C12976926337644","UK","N","2021-09-26 20:46:45",77697395249488,"CN","TT","BRL","76191.61"
"C12976926337644","UK","N","2021-12-06 02:34:31",77697395249488,"CN","TT","USD","76380.64"
"C12976926337644","UK","N","2021-04-03 21:44:54",26798388125766,"DE","BILLING","GBP","36763.31"
"C12976926337644","UK","N","2021-11-13 20:49:44",26798388125766,"DE","BILLING","EUR","47346.51"
"C12976926337644","UK","N","2021-11-06 18:47:51",26798388125766,"DE","DIVIDEND","GBP","42046.8"
"C12976926337644","UK","N","2021-06-10 12:48:20",15992448148323,"FR","BILLING","INR","55554.43"
"C12976926337644","UK","N","2021-01-30 15:52:19",15992448148323,"FR","TRANSFER","GBP","34057.79"
"C12976926337644","UK","N","2021-08-07 15:06:35",15992448148323,"FR","TT","EUR","55242.43"
"C12976926337644","UK","N","2021-07-28 23:53:27",68147528612978,"UK","TRANSFER","GBP","49620.13"
"C12976926337644","UK","N","2021-09-01 17:40:30",68147528612978,,"TRANSFER","HKD","346606.86"
"C12976926337644","UK","N","2021-09-10 01:14:38",68147528612978,"UK","TRANSFER","HKD","346016.46"
"C12976926337644","UK","N","2021-10-21 00:02:32",68147528612978,,"TRANSFER","HKD","347474.61"
"C12976926337644","UK","N","2021-05-11 20:57:47",68147528612978,"UK","TT","GBP","27010.18"
"C12976926337644","UK","N","2021-06-19 10:52:00",68147528612978,"UK","TT","GBP","26970.08"
"C12976926337644","UK","N","2021-06-27 13:01:02",68147528612978,"UK","TT","GBP","27013.86"
"C14368611669296","US","N","2021-01-09 04:13:21",97272147577377,"BR","INVESTMENT","HKD","380983.92"
"C14368611669296","US","N","2021-03-12 04:56:46",97272147577377,"BR","INVESTMENT","USD","65514.18"
"C14368611669296","US","N","2021-04-12 03:48:57",97272147577377,,"INVESTMENT","BRL","343444.57"
"C14368611669296","US","N","2021-04-24 00:11:33",97272147577377,"BR","INVESTMENT","BRL","344268.16"
"C14368611669296","US","N","2021-06-01 06:46:42",97272147577377,"BR","INVESTMENT","USD","65162.79"
